t,x_R,Gly,PHB,N,x_T,mu_x_R,mu_p
71,0.2500000025439853,0.6639749533708523,0.7233784622035293,3.2258816848639803e-12,0.9733784647475145,4.360852202598111e-11,0.13792277147244425
72,0.2500000025441635,0.656903251314088,0.7258535579233899,2.6114982927806335e-12,0.9758535604675533,3.5073577633879565e-11,0.13790074497726412
73,0.25000000254455107,0.6500610542445697,0.7282483268977062,1.2749593959339667e-12,0.9782483294422573,1.7013947379864322e-11,0.1378789840864005
74,0.25000000254484767,0.6434408665474205,0.730565392591697,2.521487802799299e-13,0.9805653951365446,3.34375981785101e-12,0.1378574954955034
75,0.2500000025450839,0.6370354397513154,0.7328072919703246,-5.625325706927014e-13,0.9828072945154085,-7.413894413422515e-12,0.13783628544282198
76,0.25000000254500154,0.6308377624587851,0.7349764790227133,-2.784730952826454e-13,0.9849764815677149,-3.647988593440778e-12,0.13781535970254244
77,0.25000000254476795,0.6248410551252895,0.737075326589446,5.270092929705456e-13,0.9870753291342139,6.862950760014786e-12,0.13779472359467412
78,0.2500000025446837,0.6190387597670526,0.7391061299648323,8.175502167012747e-13,0.989106132509516,1.0584738725318122e-11,0.13777438197843572
79,0.2500000025447695,0.6134245346777297,0.7410711087460919,5.216362603062123e-13,0.9910711112908615,6.715171104103321e-12,0.13775433926301328
80,0.2500000025448564,0.6079922462841488,0.7429724096838418,2.219402710322474e-13,0.9929724122286983,2.841183561609404e-12,0.13773459940894422
81,0.25000000254493854,0.6027359629022591,0.7448121088675,-6.12378203160492e-14,0.9948121114124386,-7.796626941007312e-13,0.13771516593645194
82,0.25000000254514165,0.5976499486462529,0.7465922138570943,-7.616025992198309e-13,0.9965922164022359,-9.644705023920398e-12,0.13769604193480314
83,0.2500000025454074,0.5927286536726197,0.7483146670978557,-1.6778418196758196e-12,0.998314669643263,-2.1136561577683478e-11,0.13767723005788868
84,0.2500000025455421,0.5879667086711261,0.7499813478483731,-2.1424323484561816e-12,0.9999813503939152,-2.685110272831547e-11,0.13765873253527566
85,0.25000000254553095,0.5833589213081377,0.7515940734254195,-2.1040141327051296e-12,1.0015940759709505,-2.6237581982403653e-11,0.13764055119132024
86,0.2500000025457668,0.5789002727859658,0.7531546004081705,-2.9172505799406135e-12,1.0031546029539373,-3.6200706044366073e-11,0.13762268746560963
87,0.2500000025461952,0.5745859081779249,0.7546646280209681,-4.3944230375613914e-12,1.0046646305671634,-5.4270126541765877e-11,0.1376051424086434
88,0.2500000025464622,0.5704111337811617,0.7561257990598249,-5.3152315910669e-12,1.006125801606287,-6.533468934259547e-11,0.13758791670504403
89,0.25000000254634824,0.5663714089903589,0.7575397027366103,-4.9220272903485405e-12,1.0075397052829587,-6.022471947559398e-11,0.13757101067443228
90,0.2500000025464237,0.5624623368509171,0.7589078779854119,-5.182336881387049e-12,1.0089078805318357,-6.312646044388712e-11,0.13755442426535636
91,0.2500000025466414,0.5586796683016596,0.7602318119776436,-5.932991218822829e-12,1.010231814524285,-7.195481293081998e-11,0.1375381571066519
92,0.2500000025467542,0.5550192946260893,0.7615129427640888,-6.321941677775213e-12,1.011512945310843,-7.634519132868121e-11,0.1375222085098413
93,0.25000000254654287,0.5514772415700504,0.7627526613337107,-5.593393564672397e-12,1.0127526638802535,-6.726602072781468e-11,0.13750657747750347
94,0.25000000254633126,0.5480496620062747,0.7639523141810404,-4.863565756843829e-12,1.0139523167273716,-5.825158748540408e-11,0.13749126270417086
95,0.2500000025461464,0.5447328365375326,0.7651132030951073,-4.226170050293081e-12,1.0151132056412537,-5.041681034099748e-11,0.13747626261185772
96,0.2500000025459988,0.5415231678706994,0.7662365871285046,-3.717209170060334e-12,1.0162365896745034,-4.4173618017487854e-11,0.13746157535792183
97,0.2500000025458954,0.5384171764821463,0.7673236841145022,-3.3605817294238318e-12,1.0173236866603976,-3.9785010995839244e-11,0.13744719884781806
98,0.2500000025458328,0.5354114958307796,0.768375672342483,-3.1447731834750296e-12,1.018375674888316,-3.7093190512283814e-11,0.1374331307449479
99,0.2500000025458016,0.5325028700920947,0.769393691351024,-3.037303831575961e-12,1.0193936938968255,-3.569710902069166e-11,0.13741936849152092
100,0.2500000025457816,0.5296881502410028,0.7703788432989069,-2.968233990439859e-12,1.0203788458446885,-3.476340376131126e-11,0.13740590932119817
101,0.2500000025457489,0.5269642902954189,0.7713321942798625,-2.85544534330564e-12,1.0213321968256115,-3.332852278070439e-11,0.1373927502716619
102,0.2500000025457128,0.5243283427375877,0.7722547759251049,-2.7309054515249155e-12,1.0222547784708178,-3.176910126636651e-11,0.13737988819229163
103,0.25000000254567284,0.5217774568568625,0.7731475859833603,-2.5930896351859295e-12,1.023147588529033,-3.0068317829259554e-11,0.13736731976516103
104,0.2500000025456333,0.5193088752427794,0.7740115895482909,-2.456739103014706e-12,1.0240115920939241,-2.8397529215207795e-11,0.13735504151643432
105,0.2500000025456032,0.5169199305883961,0.7748477201773262,-2.352827334685928e-12,1.0248477227229293,-2.7112986032948086e-11,0.137343049828393
106,0.250000002545573,0.5146080420757357,0.7756568811567585,-2.248705386088703e-12,1.0256568837023314,-2.583573256721435e-11,0.13733134094845256
107,0.25000000254554267,0.5123707133787548,0.7764399462007029,-2.144172147558879e-12,1.0264399487462454,-2.4563103410047745e-11,0.13731991100545313
108,0.25000000254551585,0.5102055298044936,0.7771977604516954,-2.051800736238521e-12,1.0271977629972113,-2.343839469653551e-11,0.13730875602086323
109,0.25000000254549687,0.5081101554644588,0.7779311414707083,-1.986387093630527e-12,1.0279311440162051,-2.2628652121869716e-11,0.13729787191925438
110,0.2500000025454835,0.5060823296202178,0.7786408805161932,-1.940332757818462e-12,1.0286408830616767,-2.2044764102762372e-11,0.1372872545335349
