t,x_R,Gly,PHB,N,x_T,mu_x_R,mu_p
0,0.25,25.0,0.0,0.2,0.25,0.14379818099401415,0.05383787109675435
1,0.25001686308602955,24.97089211239315,0.010187104875718077,0.1999418514274838,0.2602039679617476,0.14384512334364755,0.0538185363189024
2,0.2500669384465542,24.942148578915113,0.020245394217901315,0.1997691777705024,0.27031233266445553,0.14392283480446028,0.053837613941637566
3,0.25014948638019535,24.913742474426428,0.03018432059152201,0.19948452972346387,0.28033380697171734,0.14403071840297896,0.05389433609572893
4,0.25026380194842285,24.885648515522103,0.040012760602604405,0.19909033810888638,0.29027656255102724,0.14416823649460636,0.0539880647167528
5,0.25040921166111074,24.85784292754237,0.049739061573351215,0.19858892530651434,0.30014827323446197,0.1443349058449974,0.054118282189934176
6,0.2505850709462681,24.830303345968918,0.05937107615185776,0.19798251397838568,0.30995614709812586,0.14453029357919106,0.054284583669096935
7,0.2507907602105164,24.80300865704665,0.06891621824770844,0.19727324065339133,0.3197069784582248,0.14475401200505678,0.054486668306417636
8,0.2510256828860055,24.775938939752,0.07838148341901163,0.19646316246204942,0.32940716630501715,0.14500571530666523,0.05472433342089443
9,0.2512892626974366,24.74907537295828,0.08777348147081303,0.19555426656056288,0.33906274416824966,0.14528509562526618,0.0549974681544926
10,0.2515809416203676,24.722400170442107,0.09709845928224932,0.1945484771711459,0.3486794009026169,0.14559187982527663,0.05530604832187755
11,0.2519001774539154,24.695896514445078,0.10636232415434899,0.1934476639520155,0.3582625016082644,0.14592582593404646,0.05565013108409421
12,0.25224644020601195,24.669548446547896,0.11557068214467073,0.19225365446202744,0.36781712235068265,0.14628671849612812,0.05602984832181809
13,0.25261921194698556,24.643340892242843,0.12472882947262344,0.19096823466556673,0.377348041419609,0.14667436708761938,0.056445404437612416
14,0.25301798385521107,24.617259579925825,0.1338417809871494,0.1895931591199616,0.3868597648423605,0.14708860223229892,0.0568970707415749
15,0.2534422542923686,24.591291013955004,0.142914279671047,0.18813015761252164,0.39635653396341564,0.14752927218388243,0.05738518110721152
16,0.2538915267385908,24.56542243222368,0.15195081157076765,0.18658094228072117,0.40584233830935845,0.14799623950856555,0.057910127340586766
17,0.2543653080146938,24.539641794550537,0.16095560992896393,0.18494721374243495,0.4153209179436578,0.14848937780731702,0.05847235477728569
18,0.254863106319102,24.513937753316714,0.16993266553785302,0.18323066786516556,0.424795771856955,0.14900856814719043,0.059072357382117184
19,0.25538442944570594,24.488299646427407,0.17888572927196494,0.18143300191135867,0.4342701587176709,0.14955369548804104,0.05971067278133728
20,0.2559287829540517,24.46271748903902,0.18781831505479776,0.17955592084809738,0.4437470980088495,0.15012464487990906,0.060387876827296544
21,0.25649566833187304,24.437181960103494,0.19673370463976114,0.1776011436831963,0.4532293729716342,0.1507212974442218,0.06110457764814771
22,0.25708458119659533,24.41168439904858,0.20563494884202163,0.17557040966691237,0.462719530038617,0.1513435261371917,0.061861409171861864
23,0.2576950096420819,24.386216835742918,0.21452485711501074,0.17346548399282052,0.47221986675709265,0.15199119134558858,0.06265902421061517
24,0.2583264325402292,24.360771994376634,0.22340599625828234,0.17128816365438185,0.4817324287985115,0.15266413615746233,0.06349808667538273
25,0.258978317668144,24.33534329094887,0.2322806913696924,0.16904028390295137,0.49125900903783637,0.1533621811146032,0.06437926265502951
26,0.25965012000065707,24.30992485147878,0.2411510195379603,0.16672372413566497,0.5008011395386174,0.1540851187213602,0.06530321075470855
27,0.26034128020224223,24.284511556170386,0.2500187944436128,0.16434041309571606,0.510360074645855,0.15483270770489302,0.06627057166886266
28,0.2610512228377085,24.259099044654718,0.25888556459382867,0.16189233504238418,0.5199367874315372,0.15560466656233166,0.06728195610870649
29,0.26177935479949116,24.233683758234495,0.2677525985979492,0.1593815351741681,0.5295319533974403,0.15640066677607273,0.06833793179833339
30,0.2625250637628002,24.208262971964636,0.2766208739993821,0.15681012495586086,0.5391459377621823,0.1572203255128883,0.06943900912427449
31,0.26328771670085366,24.18283482852304,0.2854910654785717,0.1541802872384353,0.5487787821794254,0.1580631977800949,0.07058562542949649
32,0.26406665830716713,24.15739838384844,0.29436352894110185,0.15149428169942325,0.558430187248269,0.15892876781456372,0.07177812766893271
33,0.26486120980665667,24.131953642764053,0.303238289095658,0.14875444894256287,0.5680994989023147,0.15981644019545108,0.07301675411487978
34,0.2656706675339475,24.106501607885846,0.31211502239141314,0.14596321540018067,0.5777856899253606,0.16072552994169922,0.07430161418366676
35,0.26649430172039346,24.08104432598834,0.32099304083717883,0.14312309751588437,0.5874873425575723,0.16165525203308354,0.07563266708039729
36,0.2673313556996003,24.055584924051715,0.32987127941580685,0.14023670448413647,0.5972026351154072,0.1626047105525077,0.07700969971866466
37,0.26818104461781567,24.03012766893667,0.33874827524814155,0.137306742697187,0.6069293198659572,0.16357288636437187,0.07843230259119183
38,0.26904255507926755,24.004677993701392,0.347622158395877,0.1343360169680427,0.6166647134751446,0.16455862491899903,0.07989984611768114
39,0.2699150444144448,23.97924254591416,0.3564906349805951,0.1313274330536383,0.6264056793950399,0.16556062264213936,0.08141145565235655
40,0.2707976398602688,23.953829245485075,0.3653509669745494,0.1282840004818316,0.6361486068348181,0.16657741219403935,0.08296598592700323
41,0.27168943925129574,23.928447274714507,0.37419997565681873,0.12520883016794554,0.6458894149081145,0.16760734845441194,0.08456199818501367
42,0.2725895110611885,23.90310710694169,0.38303403158469795,0.12210513427176344,0.6556235426458865,0.16864859268140206,0.08619773693266253
43,0.2734968939285786,23.87782056770257,0.39184903320688025,0.11897622783248735,0.6653459271354589,0.16969909496712773,0.08787110703998834
44,0.27441059825962133,23.852600783196507,0.40064042483779605,0.11582552324268477,0.6750510230974174,0.17075657808068956,0.08957965658597271
45,0.27532960731432204,23.82746216722698,0.4094032011861142,0.11265652650233755,0.6847328085004363,0.171818519610534,0.09132056176989328
46,0.27625287755426514,23.802420465025037,0.4181318920030192,0.10947283601977521,0.6943847695572843,0.17288213214318537,0.09309061421858726
47,0.2771793411527711,23.77749265016029,0.4268205980657388,0.10627813395596158,0.7039999392185099,0.17394434502104242,0.09488621695266468
48,0.2781079082882872,23.75269684709329,0.43546301819503014,0.10307617831625086,0.7135709264833173,0.17500178481656573,0.09670338568883227
49,0.27903746853783734,23.728052341862043,0.44405244546070594,0.09987079814538828,0.7230899139985433,0.17605075374815132,0.09853775497798038
50,0.2799668941709809,23.703579425536628,0.45258182184442325,0.09666588216903108,0.7325487160154042,0.17708720953749313,0.10038459521509556
51,0.28089504348343214,23.679299244491247,0.46104379051482297,0.09346536729850956,0.7419388339982551,0.17810674445726563,0.10223883779160843
52,0.2818207636153892,23.655233748523496,0.46943071387618074,0.09027322891245082,0.75125147749157,0.17910456295459262,0.10409510778651956
53,0.2827428943381244,23.631405492419418,0.47773474287339013,0.08709346779957086,0.7604776372115145,0.1800754598721528,0.10594776711717768
