Tiempo,Biomasa,Glucosa,Nitrogeno,Bicaverina,GA3,Volumen
0,1.00695,80.0,0.25,0.0,0.0,1.5
2,1.2995642990090528,79.29177808073062,0.24341361042452936,1.1615707208662184e-05,0.0011936261189198119,1.5
4,1.6641640372949404,78.40647827680111,0.23520681783262826,2.6423852532312995e-05,0.002728085774057197,1.5
6,2.110275418423962,77.31855816892485,0.22516511275239182,4.509472433588118e-05,0.004683405885888833,1.5
8,2.6438033756239467,76.00984989798116,0.21315544781828158,6.831821806106894e-05,0.007147862223779485,1.5
10,3.2641220866593934,74.47620357662767,0.19919178347962116,9.673540653144715e-05,0.010212743674026309,1.5000000445857762
12,3.9778061162392615,73.60008959902191,0.21440703819739457,0.0001300283208516806,0.01380321085299773,1.520000044427297
14,4.906216102807851,72.18561074942376,0.22397674247569602,0.00017131052462264005,0.018194777113266922,1.540000044427297
16,6.080088823791547,70.15297964024016,0.22724008022252473,0.0002225409693547781,0.023616918065048693,1.5600000444272972
18,7.516356734471776,67.45097467937244,0.22384520510152925,0.00028569469937981347,0.030322290055805327,1.5800000444272975
20,9.205174953009264,64.08642091102504,0.21404127917571494,0.000362473607245038,0.03856562191756075,1.6000000444272977
22,11.099920897967229,60.147946106559814,0.1989036447425863,0.0004539624158761379,0.048570384784338214,1.620000044427298
24,13.118059634972907,55.806416301587475,0.18031451904581752,0.0005603660041641977,0.06049046469243679,1.6400000444272984
26,15.157727379736293,51.28063252959093,0.16059000110640026,0.0006809823621600117,0.07438122931162634,1.6600000444272986
28,17.124666555950515,46.77908817100053,0.14187411080725149,0.0008144554450039896,0.09019435703506531,1.6800000444272984
30,18.95499808247543,42.44914338762396,0.12562642941985386,0.0009591751408865463,0.10779970368940975,1.7000000444272982
32,20.62209025271844,38.35983606651269,0.11246753310090943,0.0011136164466775285,0.1270226940701595,1.720000044427298
34,22.128158902615333,34.51799952102565,0.10236797537998273,0.00127650127407108,0.14767984859599448,1.7400000444272978
36,23.48998815966505,30.897949534172394,0.09496958122347653,0.001446804501654366,0.16960126749918483,1.760000044427298
38,24.72712866919098,27.466643902775225,0.08985102341310806,0.0016236857535557529,0.19263889522122363,1.7800000444272983
40,25.855414569360054,24.19785473686369,0.08667373552304886,0.0018064106662953653,0.21666524620816588,1.800000043833292
42,26.824042082069845,21.376950418833044,0.0611290912436406,0.002002523929148508,0.2428274255340969,1.810000045835742
44,27.39756349395731,19.36629368910347,0.04451366631696951,0.002198997524844863,0.2696389991969355,1.820000045835742
46,27.70825470331316,17.89896245075936,0.03385127400152977,0.0023948454114841003,0.296760629330512,1.8300000458357417
48,27.84824409446935,16.788220762537946,0.027068818803368366,0.002589483326003041,0.32397041602548743,1.8400000458357417
50,27.879949863364118,15.907064055587005,0.022761536682429948,0.0027825782200262875,0.3511268683136065,1.8500000458357415
52,27.845076991640713,15.170248997110514,0.0199906159012744,0.0029739582134166213,0.3781425853533445,1.8600000458357415
54,27.77072020842162,14.522137841441417,0.01814591725207173,0.0031635475057365386,0.40496583880256276,1.8700000458357415
56,27.67376284772148,13.927918308595162,0.016847025599026205,0.0033513216554823277,0.4315676069609469,1.8800000458357413
58,27.564302297830118,13.366691858185845,0.0158661947298344,0.0035372815154423617,0.45793271255667195,1.8900000458357413
60,27.448198694210515,12.826277949869697,0.015071012837640375,0.0037214400810744413,0.48405410843527535,1.9000000458357413
62,27.328795279848293,12.299684156872916,0.014385700997735507,0.0039038162925764696,0.5099293979976793,1.9100000458357413
64,27.207985704043736,11.78290871892454,0.013767102655172444,0.004084432077918913,0.5355588016693847,1.9200000458357416
66,27.086840617805727,11.273648516946853,0.013190587219393238,0.0042633108477022905,0.5609439955759192,1.9300000458357418
68,26.965964742146166,10.770562576008862,0.012642017032491704,0.004440476667844204,0.586087454040356,1.940000045835742
70,26.845697590156963,10.272858232861173,0.012113231573409676,0.004615953776481093,0.6109920774339191,1.950000045835742
72,26.726226074137568,9.780059202002983,0.011599513941615599,0.004789766289073056,0.6356609800320681,1.9600000458357418
74,26.60764795107784,9.291875093935046,0.011098163308960834,0.004961938012384881,0.6600973676876078,1.9700000458357418
76,26.49000774934631,8.808127686061843,0.010607686452072683,0.005132492323593125,0.6843044663691558,1.9800000458357416
78,26.373317279502437,8.328708967185632,0.010127336092871014,0.00530145208801064,0.7082854794948565,1.9900000458357419
80,26.257567350353252,7.853557301583782,0.009656847095943022,0.005468839599609074,0.7320435618018416,2.000000045835742
82,26.142734491775325,7.38264388537126,0.00919628500256309,0.005634676533832004,0.7555818025118672,2.0100000458357417
84,26.028784635425716,6.915965483393008,0.008745963008458167,0.005798983906648778,0.778903213984852,2.0200000458357414
86,25.915675052776805,6.453540786931327,0.008306398153232829,0.005961782034403176,0.8020107231243788,2.0300000458357412
88,25.803355219607166,5.995409019212036,0.007878291668150053,0.006123090492065277,0.8249071641844787,2.0400000458357415
90,25.691766928867402,5.541630138039694,0.00746252624099761,0.006282928067559723,0.8475952721621289,2.0500000458357417
92,25.580843991957384,5.0922859434150345,0.007060172548217096,0.006441312710306722,0.8700776759977216,2.0600000458357415
94,25.47051168244259,4.64748177242152,0.0066725015890582735,0.006598261473621645,0.8923568913002605,2.0700000458357417
96,25.360686065280486,4.207348476839506,0.0063009996027305094,0.006753790451751268,0.9144353124901982,2.080000045835742
98,25.251273447899734,3.772044178136924,0.0059473802512077486,0.006907914713089643,0.9363152042193167,2.090000045835742
100,25.142170071006028,3.341755516979432,0.005613591412424197,0.007060648234025275,0.9579986925164263,2.100000045835742
